customer_id,customer_name,email,phone,dob,gender,country,city
1,John Martinez,JohnMartinez20@gmail.com,207-319-8171,1989-02-16,M,Nigeria,Ugep
2,Virginia Read,VirginiaRead70@gmail.com,704-915-9203,1992-08-10,F,Nigeria,Kontagora
3,Tim Branch,TimBranch91@gmail.com,917-398-6976,1985-06-21,M,Nigeria,Kaduna
4,Garry Joyce,GarryJoyce52@gmail.com,520-880-0374,1987-12-28,M,Nigeria,Ifako-Ijaiye
5,Julia Riddick,JuliaRiddick22@gmail.com,225-247-2241,1974-05-04,F,Nigeria,Awka
6,Michael Schaffer,MichaelSchaffer20@gmail.com,207-386-0378,1982-07-07,M,Nigeria,Suleja
7,Kenneth Maize,KennethMaize81@gmail.com,814-935-8063,1979-11-05,M,Nigeria,Ikeja
8,Mark Harding,MarkHarding31@gmail.com,310-258-0712,1983-03-19,M,Nigeria,Ikeja
9,Marie Horton,MarieHorton51@gmail.com,510-968-7667,1998-01-28,F,Nigeria,Ilesha
10,Cynthia Gaskin,CynthiaGaskin71@gmail.com,719-691-2601,1977-09-15,F,Nigeria,Port Harcourt
11,Linda Thomas,LindaThomas63@gmail.com,636-625-6334,1981-04-08,F,Nigeria,Jos
12,Barbara Costa,BarbaraCosta83@gmail.com,832-647-7230,1990-10-27,F,Nigeria,Warri
13,Mae Sikes,MaeSikes61@gmail.com,618-443-1355,1991-07-02,F,Nigeria,Yola
14,Angelo Castillo,AngeloCastillo86@gmail.com,860-348-9657,1987-02-09,M,Nigeria,Owo
15,Diane Malcolm,DianeMalcolm76@gmail.com,765-759-2565,1995-08-07,F,Nigeria,Ikot Ekpene
16,Cindy Shufelt,CindyShufelt51@gmail.com,516-925-9440,1980-01-02,F,Nigeria,Yenagoa
17,Deborah Pines,DeborahPines41@gmail.com,410-737-8298,1997-11-09,F,Nigeria,Ondo
18,Jackie Baca,JackieBaca81@gmail.com,817-750-5474,1972-12-14,F,Nigeria,Zaria
19,Susan Hammel,SusanHammel40@gmail.com,405-605-4586,1986-09-12,F,Nigeria,Ile-Ife
20,David Riedel,DavidRiedel50@gmail.com,502-939-9444,1995-05-25,M,Nigeria,Ogbomoso
21,Jack Herndon,JackHerndon61@gmail.com,617-342-3912,1998-06-21,M,Nigeria,Lafia
22,Jennifer Fulp,JenniferFulp44@gmail.com,443-354-1404,1985-02-09,F,Nigeria,Maiduguri
23,Nancy Johnson,NancyJohnson54@gmail.com,540-866-0715,1976-04-22,F,Nigeria,Makurdi
24,Ann McCafferty,AnnMcCafferty73@gmail.com,732-822-4058,1988-05-19,F,Nigeria,Ilesha
25,Bettye Holmes,BettyeHolmes31@gmail.com,319-363-5257,1981-08-29,F,Nigeria,Ugep
26,Michael Vaughn,MichaelVaughn80@gmail.com,801-858-9021,1992-04-01,M,Nigeria,Nsukka
27,Patricia Sun,PatriciaSun85@gmail.com,858-444-5846,1993-10-05,F,Nigeria,Nnewi
28,Donna Conner,DonnaConner30@gmail.com,305-819-0856,1989-12-07,F,Nigeria,Eket
29,Daniel Weaver,DanielWeaver31@gmail.com,314-450-8498,1978-03-12,M,Nigeria,Umuahia
30,Evelyn Arce,EvelynArce94@gmail.com,949-415-5318,1984-07-23,F,Nigeria,Oyo
31,Lindsey Isley,LindseyIsley91@gmail.com,916-674-4960,1976-11-30,F,Nigeria,Lekki
32,Aurora Wills,AuroraWills97@gmail.com,972-439-8352,1994-07-01,F,Nigeria,Zaria
33,Joshua Clark,JoshuaClark90@gmail.com,908-374-2856,1983-08-03,M,Nigeria,Jos
34,Gertrude Mills,GertrudeMills52@gmail.com,520-426-7990,1972-10-11,F,Nigeria,Ikoyi
35,Earl Scott,EarlScott61@gmail.com,610-436-8367,1981-12-18,M,Nigeria,Suleja
36,Josephine Paylor,JosephinePaylor87@gmail.com,870-953-7350,1988-07-16,F,Nigeria,Aba
